0,0
200,0
400,0
600,0
800,0
0,200
200,200
400,200
600,200
800,200
0,400
200,400
400,400
600,400
800,400
0,600
200,600
400,600
600,600
800,600
0,0
200,0
400,0
600,0
800,0
0,200
200,200
400,200
600,200
800,200
0,400
200,400
400,400
600,400
800,400
0,600
200,600
400,600
600,600
800,600
0,0
200,0
400,0
600,0
800,0
0,200
200,200
400,200
600,200
800,200
0,400
200,400
400,400
600,400
800,400
0,600
200,600
400,600
600,600
800,600
0,0
200,0
400,0
600,0
800,0
0,200
200,200
400,200
600,200
800,200
0,400
200,400
400,400
600,400
800,400
0,600
200,600
400,600
600,600
800,600
